userId,groupsJoined,groupsInherited,acesReceived,acesModified,joinedDomainAdminsGroup,userIsKerboroastable,isLateralMovement
d2d442a5-9166-4b92-94bb-38959023000d,1,1,0,0,0,0,0
e945e4c1-0f13-4a15-981e-3809839de0c5,1,1,0,0,0,0,0
ef692f14-ebfe-41af-86ec-dc70353ba941,1,1,0,0,0,0,0
a60389a3-5914-49b1-9db8-932b26930b8e,1,1,0,0,0,0,0
09eed397-bb1f-46fa-aa9d-1d63b4f3a19a,1,1,0,0,0,0,0
d76478e0-fa30-4bb8-90d3-6af923416cdb,1,1,0,0,0,0,0
05590ac5-90b4-4224-9f49-dfb440ceb2c7,1,1,0,0,0,0,0
3c19131a-6212-47d0-a450-c22672ddf5da,1,1,0,0,0,0,0
f3d7c0fa-6d6c-4236-8da2-3073a3d2b176,1,1,0,0,0,0,0
4836ffd4-b4d4-438e-8c62-61df231eff56,1,1,0,0,0,0,0
a12ab88f-92c8-47b9-a4f2-feef319766aa,1,1,0,0,0,0,0
6c78decf-f3b3-4ee7-93f3-32f4c9a2b781,1,1,0,0,0,0,0
775b664f-c17c-4546-b332-f527738ab1d3,1,1,0,0,0,0,0
b32477b9-7f71-451b-96a6-7c9446bc7806,1,1,0,0,0,0,0
ee6439b8-e89b-462a-b369-31afed61384f,1,1,0,0,0,0,0
bad6276b-867f-4573-a523-e85a3f27b635,1,1,0,0,0,0,0
9dcac76b-e0ea-4d4b-bd50-dbaece89f58b,1,1,0,0,0,0,0
c849ac3f-be1f-4e06-8d4b-097b2d2019cf,1,1,0,0,0,0,0
d32c2647-9104-4ed3-975c-83c9ab4dc515,1,1,0,0,0,0,0
c26540b1-d470-4572-af8a-4ed565b33fff,1,1,0,0,0,0,0
af6fe4ca-0c5c-4381-86c2-3f80d37dc852,1,1,0,0,0,0,0
a67354e6-5795-4eaf-9be1-8848fa993701,1,1,0,0,0,0,0
93ceccd8-f8b7-460b-beff-fdd02995a641,1,1,0,0,0,0,0
f0fbc39a-1bda-42ad-8da9-5f879cfc889e,1,1,0,0,0,0,0
73d6f966-bcf7-4b55-ba5d-19b3899a4e06,1,1,0,0,0,0,0
cb8dd41f-8c83-46ae-af18-848562ab61d9,1,1,0,0,0,0,0
38b7c157-3c07-43e5-b180-5f821859ab6f,1,1,0,0,0,0,0
b4c5b422-040f-45c7-9b79-feaaee5747a0,1,1,0,0,0,0,0
c6858dee-6667-43ff-b5ca-4ae3205cda98,1,1,0,0,0,0,0
aeaacc00-2003-4003-a4d3-a2c78408e5eb,1,1,0,0,0,0,0
ccd231d6-a663-4723-9d92-4ebb6ca960f7,1,1,0,0,0,0,0
d93dc7fc-940d-4161-bec1-c8c32b34bb8e,1,1,0,0,0,0,0
bdaea690-e3d6-4e75-a5f0-ba4c279e0354,1,1,0,0,0,0,0
434bcca1-f093-463c-a025-efee7f77e680,1,1,0,0,0,0,0
cc488a9f-a50e-4165-9d47-193c2d2f084a,1,1,0,0,0,0,0
cdb27679-6c60-4c8d-a339-3cdb99b552ce,1,1,0,0,0,0,0
6ef555b5-f3cc-4967-adaf-15701972312e,1,1,0,0,0,0,0
8b40bd09-d74d-405b-9157-cb7929d9f8af,1,1,0,0,0,0,0
ec6e7e96-05c4-49f8-90d8-ce91fae2dc2c,1,1,0,0,0,0,0
c3348daa-d8f4-46c6-838a-1e4deab10cd0,1,1,0,0,0,0,0
7d46b3c6-a976-4694-856d-8a857b6e2716,1,1,0,0,0,0,0
b4639985-1f76-47b6-a442-9fd4f8b634bc,1,1,0,0,0,0,0
c73d8611-f2e2-4450-99a8-605b55bb95f4,1,1,0,0,0,0,0
80dd6f5b-fa38-4abe-ac87-b212aa666841,1,1,0,0,0,0,0
6a1bd4ad-b0eb-4fd9-b653-453367e993b6,1,1,0,0,0,0,0
fdb86d44-45d0-4b50-b356-f8a8368bb6e5,1,1,0,0,0,0,0
7f34529b-3bd3-420e-afc9-55f1b3eff952,1,1,0,0,0,0,0
7c612a9b-ab2e-4dfe-92e3-3b56116aad47,1,1,0,0,0,0,0
48708c54-666c-4d1b-937f-e6e26783a3b7,1,1,0,0,0,0,0
3c63fa86-e2b7-4765-9ac0-d68fc247f251,1,1,0,0,0,0,0
3483e1aa-af6b-43fb-9168-f495a84cdecf,1,1,0,0,0,0,0
787d1df0-ea9a-4425-8ac2-f2f12b6a0bc3,1,1,0,0,0,0,0
bb43b34f-8619-494f-bde0-1fc1d55e7b3e,1,1,0,0,0,0,0
a68c82a1-1fb6-4b38-8563-5602ba0420d3,1,1,0,0,0,0,0
7a0fa710-6b6b-4bdd-b953-48ab8538041d,1,1,0,0,0,0,0
48caa027-6971-4860-9af1-b597f0d916f8,1,1,0,0,0,0,0
1b3c1edc-1326-4aec-8e7d-41514aa579bb,1,1,0,0,0,0,0
34a8845c-0b6b-40d2-94c4-e82779d2667e,1,1,0,0,0,0,0
c950948a-334f-4f9b-bec0-0cb78b98acb7,1,1,0,0,0,0,0
bde08937-0358-4557-9c76-a1c07fc32bb7,1,1,0,0,0,0,0
d2422267-8300-4f89-aa27-6e8ff230561c,1,1,0,0,0,0,0
